BranchesFrom	Vessel	VesselType	BodyPart	Sex	Anastomoses	ForBranchesSee	MergedVessel	CoordX	CoordY	BranchSequence	CellType	CellTypeLabel	CellTypeID	Biomarkers	BiomarkersLabel	BiomarkersID	ReferenceURL	Reference	ReferenceDOI	UBERON	FMA	BodyPartUberon	UBERONLabel	FMALabel	PathFromHeart
neuromeningeal trunk	hypoglossal branch of ascending pharyngeal artery	artery	head				0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery	https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery				UBERON:0000033			left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;ascending pharyngeal artery;neuromeningeal trunk;hypoglossal branch of ascending pharyngeal artery
neuromeningeal trunk	jugular branch of ascending pharyngeal artery	artery	head				0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery	https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery				UBERON:0000033			left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;ascending pharyngeal artery;neuromeningeal trunk;jugular branch of ascending pharyngeal artery
neuromeningeal trunk	odontoid arcade	artery	head		vertebral artery		0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://neupsykey.com/the-external-carotid-artery-and-extracranial-circulation/	https://neupsykey.com/the-external-carotid-artery-and-extracranial-circulation/				UBERON:0000033			left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;ascending pharyngeal artery;neuromeningeal trunk;odontoid arcade
neuromeningeal trunk	posterior meningeal artery	artery	head				0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	http://neuroangio.org/anatomy-and-variants/posterior-meningeal-artery/	http://neuroangio.org/anatomy-and-variants/posterior-meningeal-artery/		UBERON:0010249	fma49503	UBERON:0000033	posterior meningeal artery	Posterior meningeal artery	left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;ascending pharyngeal artery;neuromeningeal trunk;posterior meningeal artery
ascending pharyngeal artery	pharyngeal trunk	artery	neck				0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery	https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery				UBERON:0000974			left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;ascending pharyngeal artery;pharyngeal trunk
pharyngeal trunk	eustachian branch of ascending pharyngeal artery	artery	neck				0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	http://www.ajnr.org/content/23/7/1246	Lotfi Hacein-Bey, David L. Daniels, John L. Ulmer, Leighton P. Mark, Michelle M. Smith, James M. Strottmann, Douglas Brown, Glenn A. Meyer, Phillip A. Wackym. American Journal of Neuroradiology Aug 2002, 23 (7) 1246-1256				UBERON:0000974			left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;ascending pharyngeal artery;pharyngeal trunk;eustachian branch of ascending pharyngeal artery
pharyngeal trunk	inferior pharyngeal artery	artery	neck				0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	http://www.ajnr.org/content/23/7/1246	Lotfi Hacein-Bey, David L. Daniels, John L. Ulmer, Leighton P. Mark, Michelle M. Smith, James M. Strottmann, Douglas Brown, Glenn A. Meyer, Phillip A. Wackym. American Journal of Neuroradiology Aug 2002, 23 (7) 1246-1256				UBERON:0000974			left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;ascending pharyngeal artery;pharyngeal trunk;inferior pharyngeal artery
pharyngeal trunk	middle pharyngeal artery	artery	neck				0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	http://www.ajnr.org/content/23/7/1246	Lotfi Hacein-Bey, David L. Daniels, John L. Ulmer, Leighton P. Mark, Michelle M. Smith, James M. Strottmann, Douglas Brown, Glenn A. Meyer, Phillip A. Wackym. American Journal of Neuroradiology Aug 2002, 23 (7) 1246-1256				UBERON:0000974			left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;ascending pharyngeal artery;pharyngeal trunk;middle pharyngeal artery
pharyngeal trunk	superior pharyngeal artery	artery	neck				0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	http://www.ajnr.org/content/23/7/1246	Lotfi Hacein-Bey, David L. Daniels, John L. Ulmer, Leighton P. Mark, Michelle M. Smith, James M. Strottmann, Douglas Brown, Glenn A. Meyer, Phillip A. Wackym. American Journal of Neuroradiology Aug 2002, 23 (7) 1246-1256				UBERON:0000974			left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;ascending pharyngeal artery;pharyngeal trunk;superior pharyngeal artery
superior pharyngeal artery	pterygovaginal artery	artery	vagina				0			1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	http://www.ajnr.org/content/23/7/1246	Lotfi Hacein-Bey, David L. Daniels, John L. Ulmer, Leighton P. Mark, Michelle M. Smith, James M. Strottmann, Douglas Brown, Glenn A. Meyer, Phillip A. Wackym. American Journal of Neuroradiology Aug 2002, 23 (7) 1246-1256				UBERON:0000996			left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;ascending pharyngeal artery;pharyngeal trunk;superior pharyngeal artery;pterygovaginal artery
external carotid artery	facial artery	artery	face				0			4	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Facial_artery	https://en.wikipedia.org/wiki/Facial_artery		UBERON:0001612	fma49549	UBERON:0001456	facial artery	Facial artery	left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;facial artery
facial artery	angular artery	artery	face		ophthalmic artery		0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Angular_artery	https://en.wikipedia.org/wiki/Angular_artery		UBERON:0010408	fma49583	UBERON:0001456	ocular angle artery	Angular artery	left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;facial artery;angular artery
facial artery	ascending palatine artery	artery	face				0			1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Ascending_palatine_artery	https://en.wikipedia.org/wiki/Ascending_palatine_artery			fma49555	UBERON:0001456		Ascending palatine artery	left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;facial artery;ascending palatine artery
facial artery	glandular branches of facial artery	artery	face				0			3	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Glandular_branches_of_facial_artery	https://en.wikipedia.org/wiki/Glandular_branches_of_facial_artery			fma71675	UBERON:0001456		Set of glandular branches of facial artery	left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;facial artery;glandular branches of facial artery
facial artery	inferior labial artery	artery	face				0			5	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Inferior_labial_artery	https://en.wikipedia.org/wiki/Inferior_labial_artery		UBERON:0003471	fma49567	UBERON:0001456	artery of lower lip	Inferior labial artery	left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;facial artery;inferior labial artery
facial artery	lateral nasal artery	artery	face				0			7	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Lateral_nasal_branch_of_facial_artery	https://en.wikipedia.org/wiki/Lateral_nasal_branch_of_facial_artery			fma49580	UBERON:0001456		Lateral nasal artery	left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;facial artery;lateral nasal artery
facial artery	submental artery	artery	face				0			4	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Submental_artery	https://en.wikipedia.org/wiki/Submental_artery			fma49561	UBERON:0001456		Submental artery	left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;facial artery;submental artery
facial artery	superior labial artery	artery	face				0			6	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Superior_labial_artery	https://en.wikipedia.org/wiki/Superior_labial_artery		UBERON:0003470	fma49570	UBERON:0001456	artery of upper lip	Superior labial artery	left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;facial artery;superior labial artery
facial artery	tonsillar branch of facial artery	artery	face				0			2	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Tonsillar_branch_of_the_facial_artery	https://en.wikipedia.org/wiki/Tonsillar_branch_of_the_facial_artery			fma49558	UBERON:0001456		Tonsillar artery	left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;facial artery;tonsillar branch of facial artery
external carotid artery	lingual artery	artery	face				0			3	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Lingual_artery	https://en.wikipedia.org/wiki/Lingual_artery		UBERON:0001610	fma49526	UBERON:0001456	lingual artery	Lingual artery	left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;lingual artery
lingual artery	deep lingual artery	artery	face				0			1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Lingual_artery	https://en.wikipedia.org/wiki/Lingual_artery			fma49532	UBERON:0001456		Third part of lingual artery	left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;lingual artery;deep lingual artery
lingual artery	dorsal lingual artery	artery	face				0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://www.ncbi.nlm.nih.gov/books/NBK554513/	Lettau J, Bordoni B. Anatomy, Head and Neck, Lingual Artery. [Updated 2020 Jul 27]. In: StatPearls [Internet]. Treasure Island (FL): StatPearls Publishing; 2020 Jan-. Available from: https://www.ncbi.nlm.nih.gov/books/NBK554513/			fma49546	UBERON:0001456		Dorsal lingual artery	left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;lingual artery;dorsal lingual artery
lingual artery	sublingual artery	artery	face				0			2	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Lingual_artery	https://en.wikipedia.org/wiki/Lingual_artery		UBERON:0001611	fma49543	UBERON:0001456	sublingual artery	Sublingual artery	left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;lingual artery;sublingual artery
external carotid artery	maxillary artery	artery	face				0			7	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Maxillary_artery	https://en.wikipedia.org/wiki/Maxillary_artery		UBERON:0001616	fma49675	UBERON:0001456	maxillary artery	Maxillary artery	left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;maxillary artery
maxillary artery	accessory meningeal artery	artery	head				0			5	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Accessory_meningeal_artery	https://en.wikipedia.org/wiki/Accessory_meningeal_artery			fma79467	UBERON:0000033		Accessory meningeal artery	left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;maxillary artery;accessory meningeal artery
maxillary artery	alveolar artery	artery	face				0			7	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	http://purl.obolibrary.org/obo/UBERON_0009654	http://purl.obolibrary.org/obo/UBERON_0009654		UBERON:0009654		UBERON:0001456	alveolar artery		left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;maxillary artery;alveolar artery
maxillary artery	anterior deep temporal artery	artery	head				0			12	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Deep_temporal_arteries	https://en.wikipedia.org/wiki/Deep_temporal_arteries			fma49745	UBERON:0000033		Anterior deep temporal artery	left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;maxillary artery;anterior deep temporal artery
maxillary artery	anterior tympanic artery	artery	ear				0			2	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Anterior_tympanic_artery	https://en.wikipedia.org/wiki/Anterior_tympanic_artery			fma49692	UBERON:0001690		Anterior tympanic artery	left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;maxillary artery;anterior tympanic artery
maxillary artery	artery of pterygoid canal	artery	face				0			10	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Artery_of_the_pterygoid_canal	https://en.wikipedia.org/wiki/Artery_of_the_pterygoid_canal			fma85528	UBERON:0001456		Artery of pterygoid canal	left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;maxillary artery;artery of pterygoid canal
maxillary artery	buccal artery	artery	face				0			8	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Buccal_artery	https://en.wikipedia.org/wiki/Buccal_artery		UBERON:0001618	fma49754	UBERON:0001456	buccal artery	Buccal artery	left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;maxillary artery;buccal artery
maxillary artery	deep auricular artery	artery	face				0			1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Deep_auricular_artery	https://en.wikipedia.org/wiki/Deep_auricular_artery		UBERON:0014695	fma49689	UBERON:0001456	deep auricular artery	Deep auricular artery	left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;maxillary artery;deep auricular artery
maxillary artery	descending palatine artery	artery	face				0			14	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Descending_palatine_artery	https://en.wikipedia.org/wiki/Descending_palatine_artery			fma49791	UBERON:0001456		Descending palatine artery	left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;maxillary artery;descending palatine artery
descending palatine artery	greater palatine artery	artery	face				0			1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Greater_palatine_artery	https://en.wikipedia.org/wiki/Greater_palatine_artery		UBERON:0006664	fma49795	UBERON:0001456	greater palatine artery	Greater palatine artery	left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;maxillary artery;descending palatine artery;greater palatine artery
descending palatine artery	lesser palatine artery	artery	face				0			2	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Lesser_palatine_arteries	https://en.wikipedia.org/wiki/Lesser_palatine_arteries			fma49796	UBERON:0001456		Lesser palatine artery	left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;maxillary artery;descending palatine artery;lesser palatine artery
descending palatine artery	posterior palatine artery	artery	face				0			3	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://www.google.com/books/edition/A_Manual_of_Human_Anatomy_for_Dental_Stu/hH0XAQAAMAAJ	Green, R. Bramble (Ronald Bramble). A Manual of Human Anatomy for Dental Students. Philadelphia: W. B. Saunders, 1923.		UBERON:3010417		UBERON:0001456	posterior palatine artery		left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;maxillary artery;descending palatine artery;posterior palatine artery
maxillary artery	inferior alveolar artery	artery	face				0			4	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Inferior_alveolar_artery	https://en.wikipedia.org/wiki/Inferior_alveolar_artery		UBERON:0014693	fma49695	UBERON:0001456	inferior alveolar artery	Inferior alveolar artery	left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;maxillary artery;inferior alveolar artery
inferior alveolar artery	incisor artery	artery	face				0			1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Inferior_alveolar_artery	https://en.wikipedia.org/wiki/Inferior_alveolar_artery				UBERON:0001456			left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;maxillary artery;inferior alveolar artery;incisor artery
inferior alveolar artery	mental artery	artery	face				0			2	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Inferior_alveolar_artery	https://en.wikipedia.org/wiki/Inferior_alveolar_artery		UBERON:0001617	fma49701	UBERON:0001456	mental artery	Mental artery	left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;maxillary artery;inferior alveolar artery;mental artery
maxillary artery	infraorbital artery	artery	face				0			16	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Infraorbital_artery	https://en.wikipedia.org/wiki/Infraorbital_artery		UBERON:0004646	fma49767	UBERON:0001456	infraorbital artery	Infra-orbital artery	left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;maxillary artery;infraorbital artery
infraorbital artery	anterior superior alveolar artery	artery	face				0			1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Anterior_superior_alveolar_arteries	https://en.wikipedia.org/wiki/Anterior_superior_alveolar_arteries			fma49771	UBERON:0001456		Anterior superior alveolar artery	left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;maxillary artery;infraorbital artery;anterior superior alveolar artery
maxillary artery	masseteric artery	artery	face				0			11	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Masseteric_artery	https://en.wikipedia.org/wiki/Masseteric_artery		UBERON:0013648	fma49739	UBERON:0001456	masseteric artery	Masseteric artery	left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;maxillary artery;masseteric artery
